class,name,total,algum conteudo foi publicado,assinatura criada,assinatura de discussao criada,comentario apagado,comentario criado,curso visto,discussao visualizada,discussao criada,formulario de confirmacao de submissao visualizado,formulario de submissao visualizado,lista de instancias de modulos de cursos visualizados,lista de usuarios vistos,modulo do curso visualizado,o status da submissao foi visualizado,o usuario aceitou o acordo da tarefa,o usuario salvou um envio,perfil do usuario visto,post atualizado,post criado,relatorio de notas do usuario visualizado,relatorio de um utilizador do curso visualizado,submissao criada,um arquivo foi enviado,um envio foi submetido,visualizado relatorio de usuario
active,Student_92,9,0,0,0,0,0,8,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0
active,Student_82,16,0,0,0,0,0,9,0,0,0,0,0,0,5,9,0,0,0,0,0,1,0,0,0,0,0
active,Student_95,12,1,0,0,0,0,13,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0
active,Student_83,13,0,0,0,0,0,7,0,0,0,0,0,0,9,3,0,0,0,0,1,0,0,0,0,0,0
active,Student_65,16,0,0,0,0,0,12,0,0,0,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0
active,Student_42,20,0,0,0,0,0,10,0,0,0,0,0,0,13,46,0,0,0,0,0,0,0,0,0,0,0
active,Student_46,14,1,0,0,0,0,4,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0
active,Student_61,10,1,0,0,0,0,5,0,0,0,0,0,0,18,2,0,0,0,0,1,0,0,0,0,0,0
active,Student_59,20,1,0,0,0,0,13,0,0,0,0,0,0,13,32,0,0,0,0,1,0,0,0,0,0,0
active,Student_60,18,1,0,0,0,0,11,0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,0,0,0,0
active,Student_70,17,0,0,0,0,0,9,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0,4,0
active,Student_90,12,1,0,0,0,0,12,0,0,0,0,0,0,15,62,0,0,0,0,0,1,0,0,0,0,0
active,Student_54,15,0,0,0,0,0,14,0,0,0,0,0,0,18,20,0,0,0,0,0,1,0,0,0,0,0
active,Student_53,20,0,0,0,0,0,4,0,0,0,0,0,0,16,28,0,0,0,0,0,0,0,1,0,0,0
active,Student_69,12,4,0,0,0,0,15,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,1,0,0,0
active,Student_86,16,0,0,0,0,0,6,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0
active,Student_57,20,0,0,0,0,0,7,0,0,0,0,0,0,18,45,0,0,0,0,0,0,0,0,0,0,0
active,Student_72,14,0,0,0,0,0,12,0,0,0,0,0,0,9,18,0,0,0,0,0,1,0,1,0,0,0
active,Student_68,15,0,0,0,0,0,4,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0
active,Student_91,19,1,0,0,0,0,4,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0
active,Student_39,20,0,0,0,0,0,15,0,0,0,0,0,0,27,14,0,0,0,0,0,0,0,0,0,0,0
active,Student_96,19,0,0,0,0,0,19,0,0,0,0,0,0,11,46,0,0,0,0,2,0,0,0,0,0,0
active,Student_80,17,1,0,0,0,0,18,0,0,0,0,0,0,42,49,0,0,0,0,0,0,0,0,0,6,0
active,Student_73,17,0,0,0,0,0,12,0,0,0,0,0,0,13,28,0,0,0,0,0,0,0,0,0,0,0
active,Student_94,12,0,0,0,0,0,5,0,0,0,0,0,0,10,17,0,0,0,0,0,1,0,0,0,0,0
active,Student_38,20,0,0,0,0,0,11,0,0,0,0,0,0,33,24,0,0,0,0,0,0,0,0,0,0,0
active,Student_63,17,2,0,0,0,0,6,0,0,0,0,0,0,20,14,0,0,0,0,2,0,0,0,0,0,0
active,Student_44,20,0,0,0,0,0,5,0,0,0,0,0,0,8,49,0,0,0,0,0,1,0,0,0,0,0
active,Student_41,20,0,0,0,0,0,15,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0
active,Student_50,5,4,0,0,0,0,1,0,0,0,0,0,0,7,13,0,0,0,0,0,1,0,0,0,0,0
active,Student_51,20,0,0,0,0,0,25,0,0,0,0,0,0,38,23,0,0,0,0,0,0,0,0,0,0,0
active,Student_85,15,0,0,0,0,0,7,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,0,0
active,Student_81,18,0,0,0,0,0,13,0,0,0,0,0,0,17,64,0,0,0,0,0,0,0,0,0,0,0
active,Student_62,11,0,0,0,0,0,3,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0
active,Student_74,7,0,0,0,0,0,4,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0
active,Student_76,18,1,0,0,0,0,17,0,0,0,0,0,0,14,27,0,0,0,0,0,0,0,0,0,1,0
active,Student_52,17,1,0,0,0,0,8,0,0,0,0,0,0,9,16,0,0,0,0,0,2,0,0,0,0,0
active,Student_67,0,0,0,0,0,0,10,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0
active,Student_89,19,0,0,0,0,0,5,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0
active,Student_93,5,0,0,0,0,0,8,0,0,0,0,0,0,6,33,0,0,0,0,0,1,0,0,0,0,0
active,Student_71,18,0,0,0,0,0,5,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0
active,Student_79,17,0,0,0,0,0,8,0,0,0,0,0,0,15,19,0,0,0,0,0,1,1,0,0,1,0
active,Student_58,18,0,0,0,0,0,2,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0
active,Student_78,17,0,0,0,0,0,5,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0
active,Student_49,8,0,0,0,0,0,11,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0
active,Student_43,11,0,0,0,0,0,4,0,0,0,0,0,0,27,11,0,0,0,0,0,1,0,0,0,1,0
active,Student_55,17,1,0,0,0,0,23,0,0,0,0,0,0,37,24,0,0,0,0,0,0,0,0,0,1,0
inactive,Student_6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_45,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_97,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_77,0,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_64,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_75,6,0,0,0,0,0,10,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_87,15,0,0,0,0,0,14,0,0,0,0,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_66,16,0,0,0,0,0,8,0,0,0,0,0,0,12,16,0,0,0,0,0,1,0,0,0,0,0
inactive,Student_22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_1,20,1,0,0,0,0,2,0,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_56,0,1,0,0,0,0,3,0,0,0,0,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0
inactive,Student_88,14,1,0,0,0,0,14,0,0,0,0,0,0,21,24,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_48,5,0,0,0,0,0,7,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_24,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_36,16,1,0,0,0,0,17,0,0,0,0,0,0,22,52,0,0,0,0,2,5,0,0,0,0,0
inactive,Student_21,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_7,5,0,0,0,0,0,1,0,0,0,0,0,0,16,6,0,0,0,0,0,1,0,0,0,0,0
inactive,Student_15,12,0,0,0,0,0,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_10,14,1,0,0,0,0,2,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_2,0,1,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_47,10,0,0,0,0,0,10,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
